Vehicle ID,motor_cycle,truck_small,truck_large,bus,taxi,bicycle,scooter,pedestrian,inanimate,train,tram,vehicle_other,Driver_id
A-641507,0,0,0,0,0,1,0,0,0,0,0,0,1077501
A-641508,0,0,0,0,0,0,0,0,0,0,0,0,1077430
A-740291,0,0,0,0,0,0,0,0,1,0,0,0,1077175
A-740293,0,0,0,0,0,0,0,0,0,0,0,0,1076863
A-740358,0,0,0,0,0,0,0,0,0,0,0,0,1075358
A-741051,0,0,0,0,0,0,0,0,0,0,0,0,1075269
A-741052,0,1,0,0,0,0,0,0,0,0,0,0,1069639
A-741063,0,0,1,0,0,0,0,0,0,0,0,0,1072053
A-741076,0,0,0,0,0,0,0,0,0,0,0,0,1071795
A-741077,0,0,0,0,0,0,0,0,0,0,0,0,1071570
A-741078,0,0,0,0,1,1,0,0,0,0,0,0,1070078
A-741079,0,0,0,0,0,0,0,0,0,0,0,0,1069908
A-741114,0,0,0,0,0,0,0,0,0,0,0,0,1064687
A-741124,0,0,0,0,0,1,0,0,0,0,0,0,1069866
A-741125,0,0,0,0,0,0,0,0,0,0,0,0,1069057
A-741126,0,0,0,1,0,0,0,0,0,0,0,0,1069759
A-741127,0,0,0,0,1,0,0,0,0,0,0,0,1065775
A-741128,0,0,0,0,0,0,0,0,0,0,0,0,1069971
A-744800,0,0,0,1,0,0,0,0,0,0,0,0,1062474
A-744801,0,0,0,0,0,1,0,0,0,0,0,0,1069742
A-744802,0,0,0,0,1,0,0,0,0,0,0,0,1069740
A-744803,0,0,0,0,0,0,0,1,0,0,0,0,1039153
A-744804,0,0,0,0,0,0,0,0,0,0,0,0,1069710
A-744805,0,0,0,0,0,0,0,0,0,0,0,0,1069700
A-744806,1,0,0,0,0,0,0,0,0,0,0,0,1069559
A-744807,0,0,1,1,0,0,0,0,0,0,0,0,1069697
A-744808,0,0,0,0,1,0,0,0,0,0,0,0,1069800
A-744809,0,0,0,0,1,0,0,0,0,0,0,0,1069657
A-744810,0,0,0,0,0,0,0,1,0,0,0,0,1069799
A-744811,0,0,0,0,0,0,0,0,1,0,0,0,1047704
A-744812,0,0,0,0,0,0,0,0,0,0,0,0,1032111
A-744813,0,0,0,0,0,0,0,0,0,0,0,1,1069539
A-744814,0,0,0,0,1,0,0,0,0,0,0,0,1065420
A-744815,0,0,0,0,0,1,0,0,0,0,0,0,1069591
A-744816,1,0,0,0,0,0,0,0,0,0,0,0,1069530
A-744817,0,0,0,0,0,1,0,1,0,0,0,0,1069522
A-744818,0,0,0,0,0,0,0,0,1,0,0,0,1069361
A-744819,0,0,1,0,0,0,0,0,0,0,0,0,1069357
A-744820,0,0,0,1,0,0,0,0,0,0,0,0,1069356
A-744821,0,0,0,0,0,0,0,0,1,0,0,0,1069346
A-744822,0,0,0,1,0,0,0,0,0,0,0,0,1067573
A-744823,0,0,0,1,0,1,0,0,0,0,0,0,1069506
A-744824,0,0,0,0,0,0,0,1,0,0,0,0,1069314
A-744825,0,0,1,0,0,0,0,0,0,0,0,0,1060578
A-744826,0,0,1,0,0,0,0,0,0,0,0,0,1069469
A-744827,0,0,0,0,0,0,0,0,0,0,0,1,1051117
A-744828,0,0,0,0,0,0,0,0,0,0,0,0,1069465
A-744829,0,0,0,0,0,0,0,0,0,0,0,0,1069283
A-744830,0,0,0,1,0,0,0,1,0,0,0,0,1069287
A-744831,0,0,0,0,0,0,0,0,0,0,0,0,1069453
A-744832,0,0,0,0,0,0,0,0,0,0,0,1,1069248
A-744833,0,0,0,0,0,1,0,0,0,0,0,1,1068120
A-744834,0,0,0,0,0,0,1,0,0,0,0,0,1069244
A-744835,0,0,0,0,0,0,0,0,3,0,0,0,1069243
A-744836,0,0,0,0,1,0,0,0,0,0,0,0,1069238
A-744837,0,0,0,0,0,0,0,0,0,0,0,0,1069410
A-744838,0,0,0,0,0,0,0,0,0,0,0,1,1068409
A-744839,0,0,0,0,0,0,0,0,0,0,0,0,1068487
A-744840,0,0,0,0,0,1,0,0,0,0,0,0,1043961
A-744841,0,0,0,0,0,0,0,0,0,0,0,0,1068945
A-744842,0,0,0,0,0,0,0,0,0,0,0,1,1069142
A-744843,0,0,0,0,0,0,0,0,0,0,0,0,1068934
A-744844,0,0,0,0,0,0,0,0,1,0,0,0,1069136
A-744845,0,0,1,0,0,1,0,0,0,0,0,0,1068923
A-744846,0,0,0,0,0,0,0,0,1,0,0,0,1069126
A-744847,0,0,0,0,0,0,0,0,0,0,0,0,1069102
A-744848,0,0,1,0,0,0,0,0,0,0,0,0,1069093
A-744849,1,0,0,1,0,0,0,0,0,0,0,0,1069030
A-744850,1,0,0,0,0,0,0,0,0,0,0,0,1068906
A-744851,0,0,0,0,0,0,0,0,0,0,0,0,1069073
A-744852,0,0,0,0,2,0,0,0,0,0,0,0,1069043
A-744853,0,0,0,0,0,0,0,0,1,0,0,0,1060981
A-744854,0,0,1,0,0,0,0,0,1,0,0,0,1069071
A-744855,0,0,0,0,0,0,0,0,2,0,0,0,1069070
A-744856,0,0,0,0,0,1,0,0,2,0,0,0,1068893
A-744857,0,0,0,0,0,0,0,0,0,0,0,0,1068882
A-744858,0,0,0,0,1,0,0,1,0,0,0,0,1069039
A-744859,2,0,0,0,0,0,0,0,0,0,0,0,1068416
A-744860,0,0,0,0,0,0,0,0,0,0,0,1,1068997
A-744861,0,0,0,0,0,0,0,0,1,0,0,0,1048390
A-744862,0,0,0,0,0,0,0,0,0,0,0,1,1068994
A-744863,0,0,0,0,0,0,0,0,0,0,0,0,1068475
A-744864,0,0,0,0,0,0,0,0,0,0,0,0,1068989
A-744865,0,0,0,0,0,0,0,0,0,0,0,0,1068967
A-744866,0,0,0,0,0,0,0,0,0,0,0,0,1068744
A-744867,0,0,0,0,0,0,0,0,3,0,0,0,1045509
A-744868,0,1,0,0,0,0,0,1,0,0,0,0,1063958
A-744869,0,0,1,0,0,0,0,0,0,0,0,0,1041756
A-744870,1,0,0,0,0,0,0,0,1,0,0,0,1068694
A-744871,0,0,1,0,0,0,0,0,0,0,0,0,1068792
A-744872,1,0,0,0,0,0,0,0,0,0,0,0,1068558
A-744873,0,0,0,0,0,0,0,0,0,0,0,0,1068322
A-744874,0,0,0,0,0,0,0,0,0,0,0,0,1065674
A-744875,0,0,0,0,1,0,0,0,0,0,0,0,1068547
A-744876,0,0,1,0,0,0,0,0,1,0,0,0,1068545
A-744877,0,0,1,0,0,0,0,0,0,0,0,0,1068575
A-744878,0,0,0,0,0,0,0,0,0,0,0,0,1049528
A-744879,0,0,0,0,0,0,0,0,1,0,0,0,1068542
A-744880,0,0,0,0,0,1,0,0,1,0,0,0,1068350
A-744881,0,0,0,0,0,0,0,2,0,0,0,0,1067874
A-744882,0,0,0,0,0,0,0,1,1,0,0,0,1068509
A-744883,0,0,0,0,0,0,0,0,1,0,0,0,1034693
A-744884,0,0,0,0,0,0,0,0,0,0,0,0,1068508
